"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pocillopora_acuta_HIv2___RNAseq.g23616.t1",13.2257023738569,0.850160845272303,0.768063715836797,1.10688843613197,0.26834216613928,0.64914521949165
"Pocillopora_acuta_HIv2___RNAseq.g4197.t1",11.129363672464,-0.107217288087471,0.688363920471743,-0.155756693369394,0.876224807595386,0.964220603854204
"Pocillopora_acuta_HIv2___RNAseq.g12137.t1",71.4526009590811,0.909687816626743,0.479132498140787,1.89861430847766,0.0576152057245159,0.34810036004264
"Pocillopora_acuta_HIv2___RNAseq.g4784.t1",33.9064215564371,0.429371470388892,1.06704085405897,0.40239459319255,0.687393648527754,0.894645113272326
"Pocillopora_acuta_HIv2___RNAseq.g23764.t1",20.2460896032623,0.45142794753826,0.616504555982671,0.732237812612287,0.464023428669737,0.785901416188755
"Pocillopora_acuta_HIv2___RNAseq.g27841.t1",1303.99110599407,0.293952493373603,0.307191653228477,0.956902605537176,0.338616415980971,0.70750728361704
"Pocillopora_acuta_HIv2___RNAseq.g14011.t1",464.833476069885,0.223386147330269,0.281004739987488,0.794955086309987,0.426639628822039,0.765720071148582
"Pocillopora_acuta_HIv2___RNAseq.g7479.t3a",678.516377683726,0.576951937491807,0.360308858939118,1.60127047442177,0.109317025574859,0.458328107226452
"Pocillopora_acuta_HIv2___RNAseq.g7479.t3b",1133.84963481084,0.263613641480028,0.593330349133731,0.444294888783132,0.656829396116089,0.883708944329217
"Pocillopora_acuta_HIv2___RNAseq.g3340.t1",271.146840052915,0.06310395653922,0.387500397018421,0.162848753252297,0.870637521045237,0.961357901655889
"Pocillopora_acuta_HIv2___RNAseq.g682.t1",125.65302314658,1.36704611144006,1.40176298769724,0.975233419228589,0.32944448845728,0.699656772074734
"Pocillopora_acuta_HIv2___RNAseq.g25357.t1",45.647361791477,-0.987157397540424,0.567142266632837,-1.74058160644814,0.0817569440996328,0.404139584203127
"Pocillopora_acuta_HIv2___TS.g11024.t1",104.693147574553,0.33186615571288,0.441809434710077,0.751152260772015,0.452561026986956,0.780229412780384
"Pocillopora_acuta_HIv2___TS.g13281.t1",95.6134038007271,-0.3823333184645,0.449622223349746,-0.850343463043409,0.395134159050456,0.745842697905711
