"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","A","B","C","D","E","F","G","H","L","M","N"
"Pocillopora_acuta_HIv2___RNAseq.g7366.t1",59.6072358187642,0.906117347304527,0.278536703068283,3.25313446064015,0.00114139473247254,0.0472312355493565,83,56,73,53,64,42,55,44,79,50,49
"Pocillopora_acuta_HIv2___RNAseq.g17108.t1",55.7905122938088,1.80876877501392,0.33360592531836,5.42187244812218,5.89779612024909e-08,4.07711176500984e-05,98,39,40,40,39,33,28,24,167,44,49
"Pocillopora_acuta_HIv2___RNAseq.g27786.t1",247.175502447051,0.67320061486355,0.18871379089213,3.56731011380273,0.000360664556554617,0.0234172920918776,309,264,242,213,266,177,348,193,358,249,151
"Pocillopora_acuta_HIv2___RNAseq.g6132.t1",1863.00385395082,0.727669884901113,0.184762374475672,3.93840946765342,8.20235313651835e-05,0.00941812013557754,2499,1731,2111,1987,1850,1538,1651,1514,2649,1524,1374
"Pocillopora_acuta_HIv2___RNAseq.g26609.t2",4277.51135324267,0.583452775172164,0.178904778507678,3.26124757560417,0.00110923145019283,0.0464730410077224,5069,3273,3513,4017,4978,4240,3951,4189,6803,3998,3045
"Pocillopora_acuta_HIv2___RNAseq.g16321.t1",29.1010063292431,2.2216079373297,0.605929895942102,3.66644384475458,0.000245946897034751,0.0182357598356618,37,21,19,12,26,13,20,18,28,13,60
"Pocillopora_acuta_HIv2___RNAseq.g18114.t1",143.665347984556,-2.9203963753436,0.904544999947174,-3.22858053000586,0.00124406226511013,0.0479351466871287,22,38,573,405,67,184,133,39,28,181,14
"Pocillopora_acuta_HIv2___RNAseq.g12805.t1",4244.72213929687,-0.498231392846863,0.14473459663131,-3.44237939264815,0.000576620924600054,0.0319643825749992,3746,4260,5433,5579,4537,5106,4936,4700,3577,5074,1622
"Pocillopora_acuta_HIv2___RNAseq.g25150.t1",31.8196977142133,2.56595044037041,0.737150318441736,3.48090528644765,0.000499722165121036,0.0293493802112599,28,25,33,9,37,8,11,15,32,17,71
"Pocillopora_acuta_HIv2___TS.g31736.t1",751.267778798896,1.25482594009222,0.387462978461924,3.23856990175781,0.00120130579178373,0.047534497188695,800,515,623,462,769,577,635,637,878,592,1064
"Pocillopora_acuta_HIv2___RNAseq.g30957.t1",288.596125403958,1.38466938922892,0.377817014150587,3.66492068215072,0.000247415249109005,0.0182869434435788,268,302,225,248,208,230,149,191,730,179,310
"Pocillopora_acuta_HIv2___RNAseq.g7111.t1",138.218520864183,2.22050013765944,0.68351972696154,3.24862626500959,0.00115963729480954,0.0474634856800094,210,95,28,20,43,87,204,86,321,87,203
