"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pocillopora_acuta_HIv2___RNAseq.g23616.t1",13.2257023738569,-1.0624771047013,0.698795400023501,-1.5204408968141,0.12840020248764,0.999982310934011
"Pocillopora_acuta_HIv2___RNAseq.g4197.t1",11.129363672464,0.197921445649407,0.622293660199672,0.318051521826369,0.750445855613467,0.999982310934011
"Pocillopora_acuta_HIv2___RNAseq.g12137.t1",71.4526009590811,-0.649808042042379,0.442222162873745,-1.46941536765063,0.141720161592077,0.999982310934011
"Pocillopora_acuta_HIv2___RNAseq.g4784.t1",33.9064215564371,-0.136279437238683,0.986090387469686,-0.138201770314765,0.890080956015643,0.999982310934011
"Pocillopora_acuta_HIv2___RNAseq.g23764.t1",20.2460896032623,-0.135518464240011,0.566675344671656,-0.23914656869099,0.810991932595659,0.999982310934011
"Pocillopora_acuta_HIv2___RNAseq.g27841.t1",1303.99110599407,-0.145464767805937,0.284151695127666,-0.511926447387836,0.608702487664724,0.999982310934011
"Pocillopora_acuta_HIv2___RNAseq.g14011.t1",464.833476069885,-0.0857172739781879,0.259355224134294,-0.330501435875468,0.741021107854692,0.999982310934011
"Pocillopora_acuta_HIv2___RNAseq.g7479.t3a",678.516377683726,-0.000125414812618281,0.333555936057277,-0.000375993346425546,0.999700000720991,0.999982310934011
"Pocillopora_acuta_HIv2___RNAseq.g7479.t3b",1133.84963481084,-0.0856872872425325,0.549172090508138,-0.156029938016784,0.876009423091818,0.999982310934011
"Pocillopora_acuta_HIv2___RNAseq.g3340.t1",271.146840052915,-0.0784678142901179,0.35737260218232,-0.219568634559417,0.826207121282568,0.999982310934011
"Pocillopora_acuta_HIv2___RNAseq.g682.t1",125.65302314658,-0.370192801487241,1.29830816033231,-0.285134772158012,0.775540890960466,0.999982310934011
"Pocillopora_acuta_HIv2___RNAseq.g25357.t1",45.647361791477,0.580300197086584,0.512657882840372,1.13194435609073,0.257657828911319,0.999982310934011
"Pocillopora_acuta_HIv2___TS.g11024.t1",104.693147574553,-0.416103870445605,0.406003914913109,-1.02487649788958,0.305421465259501,0.999982310934011
"Pocillopora_acuta_HIv2___TS.g13281.t1",95.6134038007271,0.303946637301489,0.411964610606077,0.737797930881312,0.460637250849339,0.999982310934011
