"","delta.rank","pval","level","nseqs","term","name","p.adj","comparison","ontology"
"1",945,0.0145994069435186,2,35,"GO:0000002","mitochondrial genome maintenance",0.130328039153328,"High_v_Control","Biological Processes"
"2",249,9.95377107184455e-05,-1,1589,"GO:0000003;GO:0022414","obsolete reproduction",0.00280667631424848,"High_v_Control","Biological Processes"
"3",3267,2.57015072915063e-07,4,13,"GO:0000012","single strand break repair",1.47783666926161e-05,"High_v_Control","Biological Processes"
"4",1319,1.65754206215205e-05,4,56,"GO:0000018","regulation of DNA recombination",0.000568507847632852,"High_v_Control","Biological Processes"
"5",1433,0.0972198616600307,5,7,"GO:0000019","regulation of mitotic recombination",0.391917999280308,"High_v_Control","Biological Processes"
"6",1347,0.0151829180314705,2,17,"GO:0000022;GO:0051231","spindle elongation",0.132603666250568,"High_v_Control","Biological Processes"
"7",385,0.381768333734799,3,27,"GO:0000027","ribosomal large subunit assembly",0.725736940558418,"High_v_Control","Biological Processes"
"8",551,0.320682197121701,2,17,"GO:0000028","ribosomal small subunit assembly",0.677258751689583,"High_v_Control","Biological Processes"
"9",-1073,0.0464621390294739,4,18,"GO:0000038","very long-chain fatty acid metabolic process",0.263953325700145,"High_v_Control","Biological Processes"
"10",-826,0.00171621369680627,3,76,"GO:0000041","transition metal ion transport",0.0285144287018945,"High_v_Control","Biological Processes"
"11",-742,0.0220705067163287,2,50,"GO:0000045;GO:1905037","autophagosome organization",0.166593979268041,"High_v_Control","Biological Processes"
"12",247,0.760155531288189,2,8,"GO:0000050;GO:0019627;GO:0071941","urea metabolic process",0.930885912877447,"High_v_Control","Biological Processes"
"13",-53,0.955162329246899,2,6,"GO:0000052","citrulline metabolic process",0.989742139031198,"High_v_Control","Biological Processes"
"14",586,0.321195252366249,4,15,"GO:0000054;GO:0033750;GO:0071428","obsolete rRNA-containing ribonucleoprotein complex export from nucleus",0.677258751689583,"High_v_Control","Biological Processes"
"15",1015,0.182711135507453,5,9,"GO:0000055","ribosomal large subunit export from nucleus",0.528663448323242,"High_v_Control","Biological Processes"
"16",103,0.91181283996193,7,6,"GO:0000056","ribosomal small subunit export from nucleus",0.976596121871918,"High_v_Control","Biological Processes"
"17",572,0.230539796158875,-1,23,"GO:0000060","obsolete protein import into nucleus, translocation",0.588002929615286,"High_v_Control","Biological Processes"
"18",1664,0.00113841430235935,7,20,"GO:0000076","DNA replication checkpoint signaling",0.0206074070473382,"High_v_Control","Biological Processes"
"19",1302,2.36690551543611e-11,2,140,"GO:0000077;GO:0031570;GO:0042770","signal transduction in response to DNA damage",3.01780453218104e-09,"High_v_Control","Biological Processes"
"20",706,0.0278185400969248,2,51,"GO:0000079;GO:1904029","regulation of cyclin-dependent protein kinase activity",0.191947926668781,"High_v_Control","Biological Processes"
